,editID,userID,comment,parsedcomment,timestamp,meta_dt,length_old,length_new,wiki
0,548880851596047062,5240463233746975065,"/* wbeditentity-update-languages-short:0||nl */ nl-description, [[User:Edoderoobot/Set-nl-description|python code]] - chemische samenstelling","‎<span dir=""auto""><span class=""autocomment"">Changed label, description and/or aliases in nl: </span></span> nl-description, <a href=""/wiki/User:Edoderoobot/Set-nl-description"" title=""User:Edoderoobot/Set-nl-description"">python code</a> - chemische samenstelling",1611249080,2021-01-21T17:11:20Z,3781,3860,wikidatawiki
1,4202551193429682987,6234451430270897948,[[Wikipedia:Geen samenvatting|Verwijst door]] naar [[Lobophyllia erythraea]],"<a href=""/wiki/Wikipedia:Geen_samenvatting"" title=""Wikipedia:Geen samenvatting"">Verwijst door</a> naar <a href=""/wiki/Lobophyllia_erythraea"" title=""Lobophyllia erythraea"">Lobophyllia erythraea</a>",1611249078,2021-01-21T17:11:18Z,866,65,nlwiki
2,8690250757795223688,918490219861071828,/* シリーズ作品 */,"<span dir=""auto""><span class=""autocomment""><a href=""/wiki/%E7%A5%9E%E6%A5%BD%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA#シリーズ作品"" title=""神楽シリーズ"">→‎シリーズ作品</a></span></span>",1611249080,2021-01-21T17:11:20Z,22851,22855,jawiki
3,4610189186994238292,3202729224075404963,Aggiornamento numero volumi pubblicati.,Aggiornamento numero volumi pubblicati.,1611249080,2021-01-21T17:11:20Z,31030,31030,itwiki
4,1231852213848343743,2292502927616969476,"/* wbsetdescription-add:1|bn */ রাশিয়ার একটি দ্বীপ, [[:toollabs:quickstatements/#/batch/48173|batch #48173]]","‎<span dir=""auto""><span class=""autocomment"">[bn] বিবরণ যোগ হয়েছে: </span></span> রাশিয়ার একটি দ্বীপ, <a href=""https://iw.toolforge.org/quickstatements/#.2Fbatch.2F48173"" class=""extiw"" title=""toollabs:quickstatements/"">batch #48173</a>",1611249080,2021-01-21T17:11:20Z,6582,6688,wikidatawiki
5,3696171375250541023,8239240107329352915,"/* wbsetdescription-add:1|ast */ páxina de dixebra de Wikimedia, [[:toollabs:quickstatements/#/batch/48176|batch #48176]]","‎<span dir=""auto""><span class=""autocomment"">Amestada la descripción en [ast]: </span></span> páxina de dixebra de Wikimedia, <a href=""https://iw.toolforge.org/quickstatements/#.2Fbatch.2F48176"" class=""extiw"" title=""toollabs:quickstatements/"">batch #48176</a>",1611249081,2021-01-21T17:11:21Z,9749,9841,wikidatawiki
6,4962052627966558387,5929856515590578547,/* Estructura de un tejado */,"<span dir=""auto""><span class=""autocomment""><a href=""/wiki/Escuadra_de_carpintero#Estructura_de_un_tejado"" title=""Escuadra de carpintero"">→‎Estructura de un tejado</a></span></span>",1611249080,2021-01-21T17:11:20Z,19562,19606,eswiki
7,3913877246715971587,6987473619963675381,"/* wbsetdescription-add:1|de */ chemische Verbindung, [[:toollabs:quickstatements/#/batch/48178|batch #48178]]","‎<span dir=""auto""><span class=""autocomment"">Beschreibung für [de] hinzugefügt: </span></span> chemische Verbindung, <a href=""https://iw.toolforge.org/quickstatements/#.2Fbatch.2F48178"" class=""extiw"" title=""toollabs:quickstatements/"">batch #48178</a>",1611249080,2021-01-21T17:11:20Z,2584,2663,wikidatawiki
8,2598172047315370161,317754805787548309,"Reverted edits by [[Special:Contributions/2409:4062:19A:5921:CF23:D855:3E3D:2E06|2409:4062:19A:5921:CF23:D855:3E3D:2E06]] ([[User talk:2409:4062:19A:5921:CF23:D855:3E3D:2E06|talk]]): not providing a [[WP:RS|reliable source]] ([[WP:CITE]], [[WP:RS]]) ([[WP:HG|HG]]) (3.4.10)","Reverted edits by <a href=""/wiki/Special:Contributions/2409:4062:19A:5921:CF23:D855:3E3D:2E06"" title=""Special:Contributions/2409:4062:19A:5921:CF23:D855:3E3D:2E06"">2409:4062:19A:5921:CF23:D855:3E3D:2E06</a> (<a href=""/w/index.php?title=User_talk:2409:4062:19A:5921:CF23:D855:3E3D:2E06&amp;action=edit&amp;redlink=1"" class=""new"" title=""User talk:2409:4062:19A:5921:CF23:D855:3E3D:2E06 (page does not exist)"">talk</a>): not providing a <a href=""/wiki/Wikipedia:RS"" class=""mw-redirect"" title=""Wikipedia:RS"">reliable source</a> (<a href=""/wiki/Wikipedia:CITE"" class=""mw-redirect"" title=""Wikipedia:CITE"">WP:CITE</a>, <a href=""/wiki/Wikipedia:RS"" class=""mw-redirect"" title=""Wikipedia:RS"">WP:RS</a>) (<a href=""/wiki/Wikipedia:HG"" class=""mw-redirect"" title=""Wikipedia:HG"">HG</a>) (3.4.10)",1611249080,2021-01-21T17:11:20Z,3045,3072,enwiki
9,3913877246715971587,6987473619963675381,"/* wbsetdescription-add:1|de */ chemische Verbindung, [[:toollabs:quickstatements/#/batch/48178|batch #48178]]","‎<span dir=""auto""><span class=""autocomment"">Beschreibung für [de] hinzugefügt: </span></span> chemische Verbindung, <a href=""https://iw.toolforge.org/quickstatements/#.2Fbatch.2F48178"" class=""extiw"" title=""toollabs:quickstatements/"">batch #48178</a>",1611249081,2021-01-21T17:11:21Z,2600,2679,wikidatawiki
10,7427667933089939016,7450768824033781684,Rescuing 1 sources and tagging 0 as dead.) #IABot (v2.0.8,Rescuing 1 sources and tagging 0 as dead.) #IABot (v2.0.8,1611249080,2021-01-21T17:11:20Z,41344,41488,ltwiki
11,2205511454048533499,4574552388456724021,[[User:Monkbot/task 18|Task 18b (cosmetic)]]: eval 1 template: hyphenate params (1×);,"<a href=""/wiki/User:Monkbot/task_18"" class=""mw-redirect"" title=""User:Monkbot/task 18"">Task 18b (cosmetic)</a>: eval 1 template: hyphenate params (1×);",1611249078,2021-01-21T17:11:18Z,1218,1219,enwiki
12,6951448005247854980,3912760622060253827,/* wbsetdescription-set:1|ast */ artículu científicu espublizáu en 1988,"‎<span dir=""auto""><span class=""autocomment"">Changed Asturian description: </span></span> artículu científicu espublizáu en 1988",1611249082,2021-01-21T17:11:22Z,88813,88833,wikidatawiki
